Date : 2024-12-06 01:20:22
Directory : c:\Users\Antik\OneDrive\Documents\GitHub\Client
Total : 73 files,  1995 codes, 61 comments, 199 blanks, all 2255 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| TypeScript JSX |         35 |      1,510 |          7 |        134 |      1,651 |
| SCSS           |         13 |        153 |          0 |         26 |        179 |
| TypeScript     |          2 |        123 |          0 |          8 |        131 |
| JSON           |          2 |         82 |          0 |          2 |         84 |
| XML            |         14 |         43 |          0 |         14 |         57 |
| JavaScript     |          1 |         41 |         52 |          1 |         94 |
| HTML           |          2 |         25 |          0 |          5 |         30 |
| Rust           |          2 |          9 |          2 |          4 |         15 |
| Markdown       |          1 |          8 |          0 |          4 |         12 |
| CSS            |          1 |          1 |          0 |          1 |          2 |
+----------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                       | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                          |         73 |      1,995 |         61 |        199 |      2,255 |
| . (Files)                                                                                                  |          3 |         57 |          0 |          7 |         64 |
| dist                                                                                                       |          5 |         61 |         52 |          7 |        120 |
| dist (Files)                                                                                               |          1 |         13 |          0 |          3 |         16 |
| dist\assets                                                                                                |          4 |         48 |         52 |          4 |        104 |
| src                                                                                                        |         62 |      1,823 |          7 |        180 |      2,010 |
| src (Files)                                                                                                |          4 |        101 |          0 |         15 |        116 |
| src-tauri                                                                                                  |          3 |         54 |          2 |          5 |         61 |
| src-tauri (Files)                                                                                          |          2 |         48 |          0 |          2 |         50 |
| src-tauri\src                                                                                              |          1 |          6 |          2 |          3 |         11 |
| src\api                                                                                                    |          1 |        109 |          0 |          7 |        116 |
| src\assets                                                                                                 |         12 |         37 |          0 |         12 |         49 |
| src\components                                                                                             |         24 |      1,100 |          1 |         96 |      1,197 |
