Date : 2024-11-05 18:27:34
Directory : c:\Users\Antik\OneDrive\Documents\GitHub\Client
Total : 78 files,  2233 codes, 61 comments, 219 blanks, all 2513 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| src\components\dashboard\widgets\calculator                                                                |          1 |         51 |          0 |          3 |         54 |
| src\components\dashboard\widgets\current                                                                   |          1 |         22 |          0 |          2 |         24 |
| src\components\dashboard\widgets\days                                                                      |          1 |        117 |          0 |          9 |        126 |
| src\components\dashboard\widgets\equity                                                                    |          2 |         42 |          0 |          6 |         48 |
| src\components\dashboard\widgets\notes                                                                     |          1 |         64 |          0 |          7 |         71 |
| src\components\dashboard\widgets\trades                                                                    |          2 |        108 |          0 |         11 |        119 |
| src\components\inputs                                                                                      |          8 |        116 |          0 |         17 |        133 |
| src\components\sidebar                                                                                     |          2 |         84 |          0 |         11 |         95 |
| src\components\small                                                                                       |          1 |         22 |          0 |          4 |         26 |
| src\components\topbar                                                                                      |          4 |        261 |          0 |         24 |        285 |
| src\components\topbar (Files)                                                                              |          1 |         21 |          0 |          7 |         28 |
| src\components\topbar\dashboard                                                                            |          2 |        110 |          0 |         12 |        122 |
| src\components\topbar\journal                                                                              |          1 |        130 |          0 |          5 |        135 |
| src\constants                                                                                              |          1 |         14 |          0 |          4 |         18 |
| src\layouts                                                                                                |          2 |         42 |          0 |          9 |         51 |
| src\pages                                                                                                  |         17 |        414 |          6 |         41 |        461 |
| src\pages\calculator                                                                                       |          2 |         14 |          0 |          2 |         16 |
| src\pages\calender                                                                                         |          1 |         14 |          0 |          1 |         15 |
| src\pages\dashboard                                                                                        |          2 |         41 |          6 |          5 |         52 |
| src\pages\journal                                                                                          |          2 |         37 |          0 |          3 |         40 |
| src\pages\login                                                                                            |          2 |         77 |          0 |          7 |         84 |
| src\pages\news                                                                                             |          2 |         14 |          0 |          2 |         16 |
| src\pages\settings                                                                                         |          4 |         87 |          0 |          7 |         94 |
| src\pages\settings (Files)                                                                                 |          1 |         66 |          0 |          4 |         70 |
| src\pages\settings\subpages                                                                                |          3 |         21 |          0 |          3 |         24 |
| src\pages\setup                                                                                            |          2 |        130 |          0 |         14 |        144 |
| src\routes                                                                                                 |          1 |         60 |          0 |          2 |         62 |
+------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| filename                                                                                                   | language       | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
| c:\Users\Antik\OneDrive\Documents\GitHub\Client\dist\assets\calulator-BT6sUfMS.svg                         | XML            |          3 |          0 |          1 |          4 |
| c:\Users\Antik\OneDrive\Documents\GitHub\Client\dist\assets\index-B24nQ7bT.js                              | JavaScript     |         41 |         52 |          1 |         94 |
| c:\Users\Antik\OneDrive\Documents\GitHub\Client\dist\assets\index-Dq2-nsQc.css                             | CSS            |          1 |          0 |          1 |          2 |
| c:\Users\Antik\OneDrive\Documents\GitHub\Client\dist\assets\settings-DBr9mgm5.svg                          | XML            |          3 |          0 |          1 |          4 |
| c:\Users\Antik\OneDrive\Documents\GitHub\Client\dist\index.html                                            | HTML           |         13 |          0 |          3 |         16 |
| c:\Users\Antik\OneDrive\Documents\GitHub\Client\index.html                                                 | HTML           |         12 |          0 |          2 |         14 |
| c:\Users\Antik\OneDrive\Documents\GitHub\Client\package.json                                               | JSON           |         37 |          0 |          1 |         38 |
| c:\Users\Antik\OneDrive\Documents\GitHub\Client\src-tauri\build.rs                                         | Rust           |          3 |          0 |          1 |          4 |
| c:\Users\Antik\OneDrive\Documents\GitHub\Client\src-tauri\src\main.rs                                      | Rust           |          6 |          2 |          3 |         11 |
| c:\Users\Antik\OneDrive\Documents\GitHub\Client\src-tauri\tauri.conf.json                                  | JSON           |         45 |          0 |          1 |         46 |
| c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\App.tsx                                                | TypeScript JSX |         12 |          0 |          5 |         17 |
| c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\Main.tsx                                               | TypeScript JSX |         16 |          0 |          3 |         19 |
| c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\Wrapper.tsx                                            | TypeScript JSX |         12 |          0 |          2 |         14 |
| c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\api\api.ts                                             | TypeScript     |        109 |          0 |          7 |        116 |
| c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\assets\arrow.svg                                       | XML            |          3 |          0 |          1 |          4 |
| c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\assets\arrow2.svg                                      | XML            |          3 |          0 |          1 |          4 |
| c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\assets\calender.svg                                    | XML            |          3 |          0 |          1 |          4 |
| c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\assets\calulator.svg                                   | XML            |          3 |          0 |          1 |          4 |
| c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\assets\close.svg                                       | XML            |          3 |          0 |          1 |          4 |
| c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\assets\dots.svg                                        | XML            |          3 |          0 |          1 |          4 |
| c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\assets\edit.svg                                        | XML            |          3 |          0 |          1 |          4 |
| c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\assets\flag.svg                                        | XML            |          3 |          0 |          1 |          4 |
| c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\assets\help.svg                                        | XML            |          3 |          0 |          1 |          4 |
| c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\assets\home.svg                                        | XML            |          3 |          0 |          1 |          4 |
| c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\assets\journal.svg                                     | XML            |          3 |          0 |          1 |          4 |
| c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\assets\news.svg                                        | XML            |          4 |          0 |          1 |          5 |
| c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\assets\search.svg                                      | XML            |          3 |          0 |          1 |          4 |
| c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\assets\settings.svg                                    | XML            |          3 |          0 |          1 |          4 |
| c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\components\charts\EquityChart.tsx                      | TypeScript JSX |        120 |          1 |          3 |        124 |
| c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\components\dashboard\modals\day.tsx                    | TypeScript JSX |         18 |          0 |          2 |         20 |
| c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\components\dashboard\modals\newTrade.tsx               | TypeScript JSX |        110 |          0 |          6 |        116 |
| c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\components\dashboard\modals\notes.tsx                  | TypeScript JSX |         92 |          0 |          5 |         97 |
| c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\components\dashboard\modals\trade.tsx                  | TypeScript JSX |         59 |          0 |          2 |         61 |
| c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\components\dashboard\widgets\calculator\calculator.tsx | TypeScript JSX |         51 |          0 |          3 |         54 |
| c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\components\dashboard\widgets\current\currentDay.tsx    | TypeScript JSX |         22 |          0 |          2 |         24 |
| c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\components\dashboard\widgets\days\days.tsx             | TypeScript JSX |        117 |          0 |          9 |        126 |
| c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\components\dashboard\widgets\equity\equity.module.scss | SCSS           |         21 |          0 |          3 |         24 |
| c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\components\dashboard\widgets\equity\equity.tsx         | TypeScript JSX |         21 |          0 |          3 |         24 |
| c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\components\dashboard\widgets\notes\notes.tsx           | TypeScript JSX |         64 |          0 |          7 |         71 |
| c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\components\dashboard\widgets\trades\trades.module.scss | SCSS           |          3 |          0 |          1 |          4 |
| c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\components\dashboard\widgets\trades\trades.tsx         | TypeScript JSX |        105 |          0 |         10 |        115 |
| c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\components\inputs\button1.tsx                          | TypeScript JSX |         11 |          0 |          2 |         13 |
| c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\components\inputs\button2.tsx                          | TypeScript JSX |         12 |          0 |          1 |         13 |
| c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\components\inputs\dots.tsx                             | TypeScript JSX |          8 |          0 |          2 |         10 |
| c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\components\inputs\input1.module.scss                   | SCSS           |          5 |          0 |          0 |          5 |
| c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\components\inputs\input1.tsx                           | TypeScript JSX |         24 |          0 |          4 |         28 |
| c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\components\inputs\input2.tsx                           | TypeScript JSX |         19 |          0 |          2 |         21 |
| c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\components\inputs\search1.tsx                          | TypeScript JSX |         13 |          0 |          2 |         15 |
| c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\components\inputs\textbox1.tsx                         | TypeScript JSX |         24 |          0 |          4 |         28 |
| c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\components\sidebar\sidebar.module.scss                 | SCSS           |         23 |          0 |          6 |         29 |
| c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\components\sidebar\sidebar.tsx                         | TypeScript JSX |         61 |          0 |          5 |         66 |
| c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\components\small\bubble.tsx                            | TypeScript JSX |         22 |          0 |          4 |         26 |
| c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\components\topbar\dashboard\dashboard.tsx              | TypeScript JSX |         88 |          0 |          9 |         97 |
| c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\components\topbar\dashboard\topbar.module.scss         | SCSS           |         22 |          0 |          3 |         25 |
| c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\components\topbar\journal\journal.tsx                  | TypeScript JSX |        130 |          0 |          5 |        135 |
| c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\components\topbar\topbar.tsx                           | TypeScript JSX |         21 |          0 |          7 |         28 |
| c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\constants\path.ts                                      | TypeScript     |         14 |          0 |          4 |         18 |
| c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\index.scss                                             | SCSS           |         61 |          0 |          5 |         66 |
| c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\layouts\main.module.scss                               | SCSS           |         12 |          0 |          3 |         15 |
| c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\layouts\main.tsx                                       | TypeScript JSX |         30 |          0 |          6 |         36 |
| c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\pages\calculator\calculator.module.scss                | SCSS           |          0 |          0 |          1 |          1 |
| c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\pages\calculator\calculator.tsx                        | TypeScript JSX |         14 |          0 |          1 |         15 |
| c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\pages\calender\calender.tsx                            | TypeScript JSX |         14 |          0 |          1 |         15 |
| c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\pages\dashboard\Dashboard.module.scss                  | SCSS           |          3 |          0 |          1 |          4 |
| c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\pages\dashboard\Dashboard.tsx                          | TypeScript JSX |         38 |          6 |          4 |         48 |
| c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\pages\journal\journal.module.scss                      | SCSS           |          0 |          0 |          1 |          1 |
| c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\pages\journal\journal.tsx                              | TypeScript JSX |         37 |          0 |          2 |         39 |
| c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\pages\login\login.module.scss                          | SCSS           |          3 |          0 |          0 |          3 |
| c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\pages\login\login.tsx                                  | TypeScript JSX |         74 |          0 |          7 |         81 |
| c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\pages\news\news.module.scss                            | SCSS           |          0 |          0 |          1 |          1 |
| c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\pages\news\news.tsx                                    | TypeScript JSX |         14 |          0 |          1 |         15 |
| c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\pages\settings\settings.tsx                            | TypeScript JSX |         66 |          0 |          4 |         70 |
| c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\pages\settings\subpages\account.tsx                    | TypeScript JSX |          7 |          0 |          1 |          8 |
| c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\pages\settings\subpages\general.tsx                    | TypeScript JSX |          7 |          0 |          1 |          8 |
| c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\pages\settings\subpages\security.tsx                   | TypeScript JSX |          7 |          0 |          1 |          8 |
| c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\pages\setup\setup.module.scss                          | SCSS           |          0 |          0 |          1 |          1 |
| c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\pages\setup\setup.tsx                                  | TypeScript JSX |        130 |          0 |         13 |        143 |
| c:\Users\Antik\OneDrive\Documents\GitHub\Client\src\routes\index.tsx                                       | TypeScript JSX |         60 |          0 |          2 |         62 |
| Total                                                                                                      |                |      2,233 |         61 |        219 |      2,513 |
+------------------------------------------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
